Genus	SubPathway	numKO
[Ruminococcus]	Alanine_aspartate_and_glutamate_metabolism	6
8	Phenylalanine_metabolism	1
Turicibacter	Arginine_and_proline_metabolism	6
4	Folate_biosynthesis	10
7	Folate_biosynthesis	12
Lactobacillus	Folate_biosynthesis	3
5	Folate_biosynthesis	9
Pseudomonas	Folate_biosynthesis	18
6	Folate_biosynthesis	11
Oscillospira	Folate_biosynthesis	3
Ruminococcus	Folate_biosynthesis	5
3	Folate_biosynthesis	8
Turicibacter	Folate_biosynthesis	3
8	Folate_biosynthesis	16
Bacteroides	Folate_biosynthesis	12
[Ruminococcus]	Folate_biosynthesis	4
Coprococcus	Folate_biosynthesis	12
Anaeroplasma	Folate_biosynthesis	2
9	Folate_biosynthesis	2
4	Carbon_fixation_pathways_in_prokaryotes	3
Pseudomonas	Carbon_fixation_pathways_in_prokaryotes	2
Ruminococcus	Carbon_fixation_pathways_in_prokaryotes	3
Oscillospira	Carbon_fixation_pathways_in_prokaryotes	4
3	Carbon_fixation_pathways_in_prokaryotes	2
8	Carbon_fixation_pathways_in_prokaryotes	2
Bacteroides	Carbon_fixation_pathways_in_prokaryotes	3
Coprococcus	Carbon_fixation_pathways_in_prokaryotes	4
Pseudomonas	Sulfur_metabolism	20
Pseudomonas	Nicotinate_and_nicotinamide_metabolism	12
8	Nicotinate_and_nicotinamide_metabolism	13
4	Oxidative_phosphorylation	29
Pseudomonas	Oxidative_phosphorylation	44
3	Oxidative_phosphorylation	19
8	Oxidative_phosphorylation	32
Bacteroides	Oxidative_phosphorylation	32
rc4-4	Oxidative_phosphorylation	25
7	Oxidative_phosphorylation	22
5	Oxidative_phosphorylation	21
6	Oxidative_phosphorylation	21
Ruminococcus	Oxidative_phosphorylation	21
Oscillospira	Oxidative_phosphorylation	20
Turicibacter	Oxidative_phosphorylation	13
[Ruminococcus]	Oxidative_phosphorylation	21
Coprococcus	Oxidative_phosphorylation	21
Pseudomonas	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	11
Anaeroplasma	None	149
9	None	149
8	Sulfur_metabolism	14
Pseudomonas	Glutathione_metabolism	7
8	Glutathione_metabolism	8
Turicibacter	Pyrimidine_metabolism	14
Anaeroplasma	Pyrimidine_metabolism	12
9	Pyrimidine_metabolism	12
6	Sulfur_metabolism	14
5	Sulfur_metabolism	8
Oscillospira	Sulfur_metabolism	4
rc4-4	Sulfur_metabolism	6
Coprococcus	Sulfur_metabolism	5
Ruminococcus	Sulfur_metabolism	4
Lactobacillus	Oxidative_phosphorylation	12
Pseudomonas	Arachidonic_acid_metabolism	1
5	Arachidonic_acid_metabolism	1
7	Arachidonic_acid_metabolism	1
Turicibacter	Arachidonic_acid_metabolism	1
8	Arachidonic_acid_metabolism	1
Bacteroides	Arachidonic_acid_metabolism	1
Coprococcus	Arachidonic_acid_metabolism	1
Pseudomonas	Benzoate_degradation	15
Coprococcus	Tyrosine_metabolism	2
Pseudomonas	Tryptophan_metabolism	3
8	Tyrosine_metabolism	6
Pseudomonas	Lysine_degradation	1
Pseudomonas	Dioxin_degradation	1
6	Tyrosine_metabolism	4
8	Two-component_system	37
8	Biosynthesis_of_unsaturated_fatty_acids	3
8	Linoleic_acid_metabolism	1
Anaeroplasma	Purine_metabolism	22
9	Purine_metabolism	22
Lactobacillus	Cysteine_and_methionine_metabolism	6
7	Cysteine_and_methionine_metabolism	16
6	Cysteine_and_methionine_metabolism	16
4	Cysteine_and_methionine_metabolism	8
5	Cysteine_and_methionine_metabolism	14
Pseudomonas	Cysteine_and_methionine_metabolism	12
Ruminococcus	Cysteine_and_methionine_metabolism	9
Oscillospira	Cysteine_and_methionine_metabolism	10
3	Cysteine_and_methionine_metabolism	7
8	Cysteine_and_methionine_metabolism	10
Bacteroides	Cysteine_and_methionine_metabolism	7
rc4-4	Cysteine_and_methionine_metabolism	10
[Ruminococcus]	Cysteine_and_methionine_metabolism	8
Coprococcus	Cysteine_and_methionine_metabolism	9
Turicibacter	Cysteine_and_methionine_metabolism	9
Anaeroplasma	Cysteine_and_methionine_metabolism	3
9	Cysteine_and_methionine_metabolism	3
4	Sulfur_relay_system	1
7	Sulfur_relay_system	2
Lactobacillus	Sulfur_relay_system	1
5	Sulfur_relay_system	2
Pseudomonas	Sulfur_relay_system	8
6	Sulfur_relay_system	2
Ruminococcus	Sulfur_relay_system	1
Oscillospira	Sulfur_relay_system	1
3	Sulfur_relay_system	1
Turicibacter	Sulfur_relay_system	1
8	Sulfur_relay_system	7
Bacteroides	Sulfur_relay_system	3
rc4-4	Sulfur_relay_system	3
[Ruminococcus]	Sulfur_relay_system	1
Coprococcus	Sulfur_relay_system	2
Anaeroplasma	Sulfur_relay_system	1
9	Sulfur_relay_system	1
8	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	7
Pseudomonas	Drug_metabolism_-_other_enzymes	2
8	Drug_metabolism_-_other_enzymes	2
5	Two-component_system	35
Pseudomonas	Two-component_system	85
6	Two-component_system	45
Oscillospira	Two-component_system	37
Ruminococcus	Two-component_system	21
7	Two-component_system	45
Coprococcus	Two-component_system	27
3	Phenylalanine_metabolism	1
5	Porphyrin_and_chlorophyll_metabolism	29
6	Porphyrin_and_chlorophyll_metabolism	28
Oscillospira	Porphyrin_and_chlorophyll_metabolism	28
[Ruminococcus]	Porphyrin_and_chlorophyll_metabolism	24
Coprococcus	Porphyrin_and_chlorophyll_metabolism	27
Lactobacillus	Glyoxylate_and_dicarboxylate_metabolism	4
Anaeroplasma	Glyoxylate_and_dicarboxylate_metabolism	1
9	Glyoxylate_and_dicarboxylate_metabolism	1
4	One_carbon_pool_by_folate	1
7	One_carbon_pool_by_folate	2
Lactobacillus	One_carbon_pool_by_folate	2
5	One_carbon_pool_by_folate	2
Pseudomonas	One_carbon_pool_by_folate	2
6	One_carbon_pool_by_folate	3
Ruminococcus	One_carbon_pool_by_folate	2
Oscillospira	One_carbon_pool_by_folate	3
3	One_carbon_pool_by_folate	2
Turicibacter	One_carbon_pool_by_folate	3
8	One_carbon_pool_by_folate	2
Bacteroides	One_carbon_pool_by_folate	2
rc4-4	One_carbon_pool_by_folate	2
[Ruminococcus]	One_carbon_pool_by_folate	2
Coprococcus	One_carbon_pool_by_folate	2
Anaeroplasma	One_carbon_pool_by_folate	2
9	One_carbon_pool_by_folate	2
3	Pantothenate_and_CoA_biosynthesis	5
8	Pantothenate_and_CoA_biosynthesis	6
rc4-4	Pantothenate_and_CoA_biosynthesis	6
4	Pentose_phosphate_pathway	7
Ruminococcus	Pentose_phosphate_pathway	11
Oscillospira	Pentose_phosphate_pathway	9
3	Pentose_phosphate_pathway	7
rc4-4	Pentose_phosphate_pathway	8
[Ruminococcus]	Pentose_phosphate_pathway	10
Coprococcus	Pentose_phosphate_pathway	13
Anaeroplasma	Pentose_phosphate_pathway	6
9	Pentose_phosphate_pathway	6
Anaeroplasma	Pyruvate_metabolism	2
9	Pyruvate_metabolism	2
Pseudomonas	Glycerolipid_metabolism	10
8	Glycerolipid_metabolism	6
6	Fatty_acid_degradation	1
Oscillospira	Fatty_acid_degradation	1
4	Butanoate_metabolism	5
3	Butanoate_metabolism	5
Bacteroides	Butanoate_metabolism	5
4	Sulfur_metabolism	2
7	Sulfur_metabolism	5
Turicibacter	Sulfur_metabolism	3
Bacteroides	Sulfur_metabolism	6
[Ruminococcus]	Sulfur_metabolism	4
Lactobacillus	Sulfur_metabolism	2
4	Biotin_metabolism	7
Pseudomonas	Biotin_metabolism	6
8	Biotin_metabolism	6
Bacteroides	Biotin_metabolism	7
4	Glycerolipid_metabolism	4
7	Glycerolipid_metabolism	9
Lactobacillus	Glycerolipid_metabolism	9
5	Glycerolipid_metabolism	9
6	Glycerolipid_metabolism	9
Ruminococcus	Glycerolipid_metabolism	9
Oscillospira	Glycerolipid_metabolism	6
3	Glycerolipid_metabolism	4
Turicibacter	Glycerolipid_metabolism	7
Bacteroides	Glycerolipid_metabolism	2
rc4-4	Glycerolipid_metabolism	7
[Ruminococcus]	Glycerolipid_metabolism	6
Coprococcus	Glycerolipid_metabolism	7
Anaeroplasma	Glycerolipid_metabolism	3
9	Glycerolipid_metabolism	3
3	Pyruvate_metabolism	7
4	Lipopolysaccharide_biosynthesis	11
Pseudomonas	Lipopolysaccharide_biosynthesis	18
3	Lipopolysaccharide_biosynthesis	11
8	Lipopolysaccharide_biosynthesis	11
Bacteroides	Lipopolysaccharide_biosynthesis	11
4	Tyrosine_metabolism	1
7	Tyrosine_metabolism	2
